Location,FIPS,"Life expectancy, 1980","Life expectancy, 1985","Life expectancy, 1990","Life expectancy, 1995","Life expectancy, 2000","Life expectancy, 2005","Life expectancy, 2010","Life expectancy, 2014"
United States,,"73.75 (73.73, 73.77)","74.72 (74.71, 74.74)","75.39 (75.38, 75.41)","75.86 (75.85, 75.88)","76.94 (76.92, 76.95)","77.65 (77.61, 77.68)","78.82 (78.81, 78.84)","79.08 (79.04, 79.11)"
Alabama,1,"72.29 (72.21, 72.37)","73.10 (73.02, 73.19)","73.50 (73.42, 73.57)","73.78 (73.70, 73.85)","74.46 (74.39, 74.53)","74.71 (74.62, 74.79)","75.58 (75.51, 75.65)","75.65 (75.57, 75.72)"
"Autauga County, Alabama",1001,"71.99 (71.33, 72.63)","72.70 (72.10, 73.32)","73.10 (72.54, 73.66)","73.69 (73.22, 74.20)","74.55 (74.10, 75.04)","74.71 (74.23, 75.20)","75.74 (75.25, 76.25)","75.67 (75.15, 76.18)"
"Baldwin County, Alabama",1003,"74.07 (73.60, 74.58)","74.92 (74.48, 75.37)","75.31 (74.88, 75.71)","75.79 (75.40, 76.20)","76.80 (76.45, 77.17)","77.09 (76.72, 77.47)","77.80 (77.45, 78.14)","78.08 (77.72, 78.43)"
"Barbour County, Alabama",1005,"71.52 (70.79, 72.20)","72.48 (71.92, 73.10)","72.80 (72.23, 73.40)","73.24 (72.69, 73.81)","74.13 (73.59, 74.64)","74.30 (73.69, 74.87)","75.34 (74.72, 75.95)","75.42 (74.78, 76.07)"
"Bibb County, Alabama",1007,"71.61 (70.86, 72.36)","72.17 (71.48, 72.83)","72.61 (72.01, 73.22)","72.62 (72.02, 73.16)","73.56 (72.98, 74.14)","73.38 (72.78, 73.97)","74.13 (73.48, 74.77)","73.97 (73.28, 74.68)"
"Blount County, Alabama",1009,"74.01 (73.40, 74.64)","74.50 (73.97, 75.05)","74.70 (74.19, 75.21)","74.80 (74.29, 75.29)","75.62 (75.16, 76.05)","75.71 (75.25, 76.19)","76.41 (75.96, 76.91)","76.16 (75.66, 76.69)"
"Bullock County, Alabama",1011,"69.88 (69.00, 70.78)","70.70 (69.91, 71.46)","71.09 (70.37, 71.83)","71.27 (70.59, 72.02)","72.27 (71.56, 72.93)","72.62 (71.85, 73.37)","73.61 (72.80, 74.40)","73.86 (72.92, 74.69)"
"Butler County, Alabama",1013,"71.67 (70.97, 72.38)","72.38 (71.75, 72.99)","72.49 (71.87, 73.11)","72.42 (71.84, 73.01)","73.17 (72.60, 73.71)","72.97 (72.34, 73.53)","73.63 (72.96, 74.28)","73.39 (72.68, 74.13)"
"Calhoun County, Alabama",1015,"72.28 (71.83, 72.76)","73.03 (72.59, 73.47)","72.94 (72.50, 73.39)","73.01 (72.61, 73.45)","73.32 (72.93, 73.71)","73.41 (73.01, 73.83)","74.11 (73.72, 74.51)","74.02 (73.58, 74.43)"
"Chambers County, Alabama",1017,"72.17 (71.59, 72.79)","72.59 (71.99, 73.15)","72.87 (72.37, 73.39)","72.80 (72.28, 73.34)","73.35 (72.84, 73.84)","73.36 (72.84, 73.92)","74.09 (73.54, 74.64)","74.06 (73.48, 74.61)"
"Cherokee County, Alabama",1019,"72.34 (71.64, 73.06)","73.15 (72.52, 73.80)","73.40 (72.79, 73.99)","73.64 (73.06, 74.22)","74.44 (73.95, 74.98)","74.64 (74.09, 75.20)","75.26 (74.68, 75.84)","75.08 (74.45, 75.72)"
"Chilton County, Alabama",1021,"72.10 (71.49, 72.75)","72.83 (72.27, 73.40)","73.01 (72.45, 73.58)","73.13 (72.59, 73.63)","73.79 (73.33, 74.32)","73.87 (73.35, 74.38)","74.50 (73.97, 75.04)","74.53 (74.02, 75.08)"
"Choctaw County, Alabama",1023,"71.66 (70.88, 72.44)","72.43 (71.72, 73.12)","72.83 (72.16, 73.46)","73.12 (72.50, 73.77)","74.03 (73.42, 74.63)","74.37 (73.70, 75.01)","75.19 (74.51, 75.92)","75.29 (74.52, 76.03)"
"Clarke County, Alabama",1025,"71.27 (70.59, 72.01)","72.22 (71.57, 72.83)","72.76 (72.17, 73.36)","73.24 (72.67, 73.82)","74.15 (73.62, 74.67)","74.51 (73.97, 75.06)","75.29 (74.73, 75.87)","75.46 (74.78, 76.08)"
"Clay County, Alabama",1027,"72.62 (71.82, 73.41)","73.35 (72.68, 73.98)","73.64 (72.96, 74.30)","73.71 (73.06, 74.36)","74.42 (73.80, 75.00)","74.50 (73.83, 75.14)","75.25 (74.54, 75.93)","75.06 (74.32, 75.79)"
"Cleburne County, Alabama",1029,"72.29 (71.55, 73.07)","72.80 (72.11, 73.48)","73.07 (72.43, 73.71)","73.14 (72.55, 73.74)","73.84 (73.31, 74.43)","73.89 (73.27, 74.57)","74.53 (73.83, 75.17)","74.30 (73.62, 75.04)"
"Coffee County, Alabama",1031,"74.11 (73.51, 74.72)","74.67 (74.17, 75.19)","74.89 (74.39, 75.37)","75.01 (74.54, 75.51)","75.55 (75.10, 76.00)","75.80 (75.32, 76.26)","76.50 (76.03, 76.99)","76.48 (75.94, 76.98)"
"Colbert County, Alabama",1033,"73.46 (72.88, 74.05)","73.66 (73.16, 74.19)","73.74 (73.22, 74.27)","73.83 (73.35, 74.34)","74.70 (74.27, 75.15)","74.73 (74.27, 75.18)","75.26 (74.77, 75.73)","75.07 (74.57, 75.58)"
"Conecuh County, Alabama",1035,"71.73 (70.93, 72.54)","72.47 (71.77, 73.20)","72.61 (71.89, 73.28)","72.77 (72.13, 73.44)","73.40 (72.76, 74.02)","73.36 (72.67, 74.08)","74.08 (73.35, 74.82)","74.05 (73.25, 74.88)"
"Coosa County, Alabama",1037,"72.17 (71.32, 73.10)","72.83 (72.09, 73.61)","73.24 (72.53, 73.92)","73.41 (72.74, 74.03)","74.30 (73.66, 74.98)","74.40 (73.71, 75.06)","75.21 (74.49, 75.97)","75.19 (74.36, 75.99)"
"Covington County, Alabama",1039,"72.56 (71.91, 73.20)","73.27 (72.71, 73.81)","73.64 (73.13, 74.13)","73.56 (73.07, 74.02)","74.46 (73.94, 74.95)","74.48 (73.98, 74.98)","75.42 (74.93, 75.94)","75.15 (74.59, 75.71)"
"Crenshaw County, Alabama",1041,"71.89 (71.06, 72.71)","72.60 (71.88, 73.30)","72.77 (72.07, 73.40)","73.01 (72.42, 73.64)","73.70 (73.12, 74.27)","73.81 (73.16, 74.45)","74.47 (73.81, 75.16)","74.07 (73.33, 74.82)"
"Cullman County, Alabama",1043,"74.01 (73.46, 74.52)","74.49 (74.00, 74.93)","74.52 (74.10, 74.97)","74.57 (74.11, 75.00)","74.94 (74.50, 75.38)","74.90 (74.47, 75.34)","75.48 (75.07, 75.93)","75.31 (74.86, 75.78)"
"Dale County, Alabama",1045,"73.83 (73.24, 74.45)","74.39 (73.86, 74.94)","74.79 (74.30, 75.25)","74.65 (74.13, 75.15)","75.17 (74.70, 75.63)","75.47 (74.99, 75.97)","76.33 (75.84, 76.79)","76.26 (75.79, 76.79)"
"Dallas County, Alabama",1047,"70.77 (70.20, 71.38)","71.35 (70.82, 71.91)","71.45 (70.93, 71.94)","71.30 (70.78, 71.81)","72.07 (71.56, 72.55)","71.81 (71.28, 72.34)","72.48 (71.98, 73.02)","72.39 (71.83, 72.95)"
"DeKalb County, Alabama",1049,"73.55 (73.03, 74.09)","73.70 (73.21, 74.20)","74.08 (73.62, 74.55)","74.47 (74.01, 74.93)","74.93 (74.50, 75.36)","74.80 (74.35, 75.27)","75.33 (74.86, 75.79)","75.25 (74.77, 75.75)"
